"scrubbed_species_binomial"	"verbatim_family"	"verbatim_scientific_name"	"family_matched"	"name_matched"	"name_matched_author"	"higher_plant_group"	"scrubbed_taxonomic_status"	"scrubbed_family"	"scrubbed_author"	"native_status"	"native_status_reason"	"native_status_sources"	"is_introduced"	"native_status_country"	"native_status_state_province"	"native_status_county_parish"	"country"	"state_province"	"county"	"locality"	"latitude"	"longitude"	"date_collected"	"datasource"	"dataset"	"dataowner"	"custodial_institution_codes"	"collection_code"	"datasource_id"	"is_cultivated_observation"	"is_cultivated_in_region"	"is_location_cultivated"	"is_new_world"	"observation_type"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Concepcion"	"Paso Batel, 7 km S cruce de Ruta Prov. 13 a Saladas, ex Paso Crucecita"	-28.36	-58.03	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Bauhinia tuichiensis"	"Fabaceae"	"Bauhinia tuichiensis Cayola & A. Fuentes"	"Fabaceae"	"Bauhinia tuichiensis"	"Cayola & A. Fuentes"	"flowering plants"	"Accepted"	"Fabaceae"	"Cayola & A. Fuentes"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, Azariamas al Norte de Apolo. Bosque andino semideciduo, con Oxandra espintana y Bromeliaceae; fondo de valle con pendiente de 20° SW. Parcela temporal de muestreo 5 (0,1 ha). Plantas sin alcoholizar.; ="	-14.32305	-68.57833	2005-05-25	"MO"	"LPB, MO"	"LPB, MO"	"LPB, MO"	NA	280	0	0	NA	1	"specimen"
"Fosterella vasquezii"	"Bromeliaceae"	"Fosterella vasquezii E. Gross & Ibisch"	"Bromeliaceae"	"Fosterella vasquezii"	"E. Gross & Ibisch"	"flowering plants"	"Accepted"	"Bromeliaceae"	"E. Gross & Ibisch"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Velasco"	"Parque Nacional Noel Kempff Mercado. Campamento Las Gamas. Paisaje variado de campo cerrado; bosque de galeria y campo rupestre. Sabanas recien quemadas."	-14.80833	-60.40472	1995-10-28	"MO"	"MO, SEL, USZ"	"MO, SEL, USZ"	"MO, SEL, USZ"	NA	280	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Salta"	"Oran"	"Río Piedras"	-23.37	-64.22	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Chico Periquito"	-9.753056	-41.356944	2014-09-27	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"HTSA"	2018	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Fazenda Santana, Pousada das Amoras, Retiro São Lourenço, sede, cerca de 21Km sul da MS-419, sub-região de Aquidauana, Pantanal."	-19.628611	-55.606389	2005-08-25	"GBIF"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"CGMS"	2258	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro das tocas."	-12.716667	-39.7	1995-10-14	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Formosa"	"Pilcomayo"	"Parque Nac. Pilcomayo, alred. de la Casa de los Guardaparques en Lag. Blanca."	-25.34	-58.03	NA	"GBIF"	"BAB"	"BAB"	"BAB"	"HERB"	3614	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Sítio São Marcos, Morro Bocaina"	-19.01	-57.39	1991-06-19	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Argentina"	NA	NA	"Puerto Velaz - 5 Km N de Puerto Velaz - Ruta n° 11/Provincia de Formosa"	-26.65	-58.63333	1966-01-26	"GBIF"	"G"	"G"	"G"	"Geneva Herbarium – General Collection (G)"	3547	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Serra do Rabichão, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual."	-19.04888	-57.29132	2004-05-18	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Terras"	-19.2	-57.7	1996-06-17	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"1"	-9.7725	-41.357222	2014-09-27	"GBIF"	"UFRGS"	"UFRGS"	"UFRGS"	"ICN"	2637	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	""	-10.077778	-42.906667	2007-06-19	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Paraguay"	"Presidente Hayes"	NA	""	-24.026944	-58.563333	2004-02-14	"GBIF"	"NHMUK"	"NHMUK"	"NHMUK"	"BOT"	2075	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"tropicos"	0	"N"	NA	NA	"Bolivia"	NA	NA	"Depto. Santa Cruz, Prov. Andres Ibanez: NE side of Viru-Viru pampa, 1 Km W of Chuchio, 4.5 Km E of turnoff from highway from Santa Cruz to Warnes."	-17.6167	-63.1167	1997-12-22	"GBIF"	"MEL"	"MEL"	"MEL"	"MEL"	3283	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Vallegrande"	"Slopes with disturbed shrubby vegetation, former cloud forest; Inga approximata Penn., NY-10047792"	-18.7166667	-64.0333333	1989-12-26	"MO"	"MO, NY, USZ"	"MO, NY, USZ"	"MO, NY, USZ"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Sede da Fazenda Bodoquena, (ex. Guaiacurus)."	-20.103333	-56.796667	2003-10-02	"GBIF"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"Fundação Universidade Federal de Mato Grosso do Sul (UFMS)"	"CGMS"	2258	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Santa Catarina"	NA	"trevo de entrada para a cidade BR-101 e estrada secundária; 28°07'49 4''S 48°41'32 6''W"	-28.130278	-48.692222	2006-02-21	"GBIF"	"UFRGS"	"UFRGS"	"UFRGS"	"ICN"	2637	0	0	NA	1	"specimen"
"Senna coimbrae"	"Caesalpiniaceae"	"Senna coimbrae M. Nee & Barneby"	"Fabaceae"	"Senna coimbrae"	"M. Nee & Barneby"	"flowering plants"	"Accepted"	"Fabaceae"	"M. Nee & Barneby"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Andres Ibanez"	"Jardín Botánico de Santa Cruz, 12 km E of center of Santa Cruz on road to Cotoca; habitat: The \"curichi\", an opening in subtropical, semi-deciduous forest, inundated during rainy season, with scattered gnarled trees of Goeffroea striata, stands of Ipomoea carnea, Solanum glaucophyllum. At brushy edge of open curichi"	-17.783	-63.067	1991-06-06	"NY"	NA	NA	NA	"Herbarium"	104	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"11-15 km de Segredo na estrada para Bonito."	-12.006389	-41.534722	1999-08-30	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Terras"	-19.416667	-57.666667	1990-05-03	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Baixa da Fontana. Brejo do Bingo. Território Indígena Pankararé."	-9.333333	-38.483333	2004-08-10	"GBIF"	"UESB"	"UESB"	"UESB"	"HUESB"	1632	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Sopé da Serra Santa Cruz, Planalto Residual do Urucum. Escarpa de Floresta Estacional Decidual."	-19.283056	-57.574722	2004-10-19	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Corrientes"	"Concepcion"	"Paso Batel, 7 km S cruce de Ruta Prov. 13 a Saladas, ex Paso Crucecita"	-28.36	-58.03	NA	"GBIF"	"CTES"	"CTES"	"CTES"	"HERB"	3391	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Estação Biológica de Canudos"	-10.016667	-39.15	2003-10-25	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Calea dalyi"	"Asteraceae"	"Calea dalyi Pruski & Urbatsch"	"Asteraceae"	"Calea dalyi"	"Pruski & Urbatsch"	"flowering plants"	"Accepted"	"Asteraceae"	"Pruski & Urbatsch"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso"	NA	"Serra de Ricardo Franco, topo da cachoeira do Jatobá"	-14.918333	-60.076667	2014-03-21	"GBIF"	"UFMT"	"UFMT"	"UFMT"	"UFMT"	3531	0	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Jujuy"	"San Pedro"	"Orilla rio de San Pedro"	-24.3	-64.84	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Handroanthus selachidentatus (A.H.Gentry) S.O.Grose"	"Bignoniaceae"	"Handroanthus selachidentatus"	"(A.H. Gentry) S.O. Grose"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Morro do Leão"	-12.716667	-39.683333	1996-10-27	"GBIF"	"UnB"	"UnB"	"UnB"	"UB"	3120	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Pantanal"	-19.954444	-56.305278	1998-04-04	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Vallegrande"	"4-5 km SE de Piraymiri sobre la carretera a Masicuri"	-18.65111	-63.93333	1994-12-27	"MO"	"MO"	"MO"	"MO"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	NA	NA	"Paraguay"	NA	NA	"Ruta Transchaco, km 130 - Km 120-130, Ruta Transchaco, 8ª Salida / Km. 125, ruta Trans-Chaco/Departamento de Presidente Hayes"	-24.45	-58.03333	1989-02-21	"GBIF"	"G"	"G"	"G"	"Geneva Herbarium – General Collection (G)"	3547	0	0	NA	1	"specimen"
"Blepharodon philibertioides"	"Apocynaceae"	"Blepharodon philibertioides Schltr."	"Apocynaceae"	"Blepharodon philibertioides"	"Schltr."	"flowering plants"	"Accepted"	"Apocynaceae"	"Schltr."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"Santa Cruz: Chiquitos. On track to Serrania de Santiago de Chiquitos going NE in the direction of the cave."	-18.35	-59.57	2001-01-26	"GBIF"	"K"	"K"	"K"	"Spirit Collection"	3716	0	0	NA	1	"specimen"
"Arachis chiquitana"	"Fabaceae"	"Arachis chiquitana Krapov., W.C.Greg. & C.E.Simpson"	"Fabaceae"	"Arachis chiquitana"	"Krapov. & al."	"flowering plants"	"Accepted"	"Fabaceae"	"Krapov. & al."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"DEP  .  SANTA  CRUZ  ,  PROV.  CHIQUITOS  5  KM  N  .  DE  SÃO  JOSÉ."	-17.783333	-60.783333	1980-04-26	"GBIF"	"JBRJ"	"JBRJ"	"JBRJ"	"RB"	1928	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Pantanal"	-19.616667	-57.45	1992-04-12	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Planalto Residual do Urucum. Vale de Floresta estacional Decidual."	-19.10903	-57.379	2004-10-27	"GBIF"	"UNICAMP"	"UNICAMP"	"UNICAMP"	"UEC"	2136	0	0	NA	1	"specimen"
"Handroanthus selachidentatus"	"Bignoniaceae"	"Tabebuia selachidentata A.H.Gentry"	"Bignoniaceae"	"Tabebuia selachidentata"	"A.H. Gentry"	"flowering plants"	"Accepted"	"Bignoniaceae"	"(A.H. Gentry) S.O. Grose"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Bahia"	NA	"Fazenda Santarém"	-9.536111	-41.352778	2003-11-28	"GBIF"	"UEFS"	"UEFS"	"UEFS"	"HUEFS"	2756	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D. Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Manuel Maria Caballero"	"Comarapa to Empalme, track to Carahuasi."	-17.9166667	-64.55	1991-10-01	"MO"	"K, LPB, NY"	"K, LPB, NY"	"K, LPB, NY"	NA	280	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Rio Grande do Sul"	"Uruguaiana"	NA	-29.731111	-57.084972	1988-03-02	"SpeciesLink"	"PUCRS"	"PUCRS"	"PUCRS"	"MPUC"	681	0	0	NA	1	"specimen"
"Inga approximata"	"Fabaceae"	"Inga approximata T.D.Penn."	"Fabaceae"	"Inga approximata"	"T.D. Penn."	"flowering plants"	"Accepted"	"Fabaceae"	"T.D. Penn."	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	NA	NA	"Cochabamba, Prov. Carrasco, rd Comarapa, turning to Empalme, track to Carahuasi"	-15.83	-64.62	1991-10-21	"GBIF"	"K"	"K"	"K"	"Herbarium"	3716	0	0	NA	1	"specimen"
"Aeschynomene denticulata"	"Fabaceae"	"Aeschynomene denticulata Rudd"	"Fabaceae"	"Aeschynomene denticulata"	"Rudd"	"flowering plants"	"Accepted"	"Fabaceae"	"Rudd"	"N"	"Native to region, as per checklist"	"flbr, conosur"	0	"N"	"N"	NA	"Brazil"	"Sao Paulo"	NA	""	-22.88375	-48.485	2006-03-20	"GBIF"	"Universidade Estadual Paulista, UNESP"	"Universidade Estadual Paulista, UNESP"	"Universidade Estadual Paulista, UNESP"	"BOTU"	2238	1	0	NA	1	"specimen"
"Cascaronia astragalina"	"Fabaceae"	"Cascaronia astragalina Griseb."	"Fabaceae"	"Cascaronia astragalina"	"Griseb."	"flowering plants"	"Accepted"	"Fabaceae"	"Griseb."	"N"	"Native to region, as per checklist"	"conosur"	0	"N"	"N"	NA	"Argentina"	"Jujuy"	"San Pedro"	"Cerro de San Pedro"	-24.3	-64.84	NA	"GBIF"	"SI"	"SI"	"SI"	"HERB"	3669	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	NA	""	-17.5	-61.5	1991-05-16	"GBIF"	"F"	"F"	"F"	"Botany"	3567	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"N"	"Native to region, as per checklist"	"flbr"	0	"N"	"N"	NA	"Brazil"	"Mato Grosso do Sul"	NA	"Assentamento Tamarineiro II Sul- Sr. Albino Lote 92"	-19.108611	-57.7875	2008-11-12	"GBIF"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"	"CPAP"	2018	0	0	NA	1	"specimen"
"Oxypetalum fuscum"	"Apocynaceae"	"Oxypetalum fuscum Goyder & Fontella"	"Apocynaceae"	"Oxypetalum fuscum"	"Goyder & Fontella"	"flowering plants"	"Accepted"	"Apocynaceae"	"Goyder & Fontella"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Tarija"	"O'Connor"	"Soledad, c. 15 km SSE of Entre Ríos"	-21.6333333	-64.1166667	2001-01-16	"MO"	"K, LPB"	"K, LPB"	"K, LPB"	NA	280	0	0	NA	1	"specimen"
"Acosmium cardenasii"	"Fabaceae"	"Acosmium cardenasii H.S. Irwin & Arroyo"	"Fabaceae"	"Acosmium cardenasii"	"H.S. Irwin & Arroyo"	"flowering plants"	"Accepted"	"Fabaceae"	"H.S. Irwin & Arroyo"	"Ne"	"Endemic to region, as per checklist"	"tropicos"	0	"Ne"	NA	NA	"Bolivia"	"Santa Cruz"	"Nuflo de Chavez"	"Area de estudio del proyecto \"BOLFOR\", Las Trancas-95. Bosque semideciduo, vegetación de fondo de valles húmedos."	-16.52027	-61.84638	1995-06-19	"MO"	"MO, USZ"	"MO, USZ"	"MO, USZ"	NA	280	0	0	NA	1	"specimen"
